,winterweizen,sommerweizen,wintergerste,sommergerste,winterroggen,triticale,hafer,silomais,körnermais,ackerbohnen,erbsen,spätkartoffeln,frühkartoffeln,winterraps,zuckerrüben,runkelrüben
kartoffel,0.07944775132275132,0.07944775132275132,0.07944775132275132,0.07944775132275132,0.07944775132275132,0.07944775132275132,0.07944775132275132,0.010003306878306879,0.07944775132275132,0.07944775132275132,0.07944775132275132,8.267195767195782e-05,8.267195767195782e-05,0.03645833333333333,0.07944775132275132,0.07944775132275132
mais,0.08273071625344351,0.08273071625344351,0.08273071625344351,0.08273071625344351,0.08273071625344351,0.08273071625344351,0.08273071625344351,0.010416666666666666,0.010416666666666666,0.03796487603305784,0.03796487603305784,0.08273071625344351,0.03796487603305784,0.03796487603305784,0.08273071625344351,0.08273071625344351
weizen,0.00010146103896103912,0.00010146103896103912,0.00010146103896103912,0.00010146103896103912,0.012276785714285714,0.012276785714285714,0.09750405844155843,0.09750405844155843,0.09750405844155843,0.09750405844155843,0.09750405844155843,0.09750405844155843,0.09750405844155843,0.09750405844155843,0.09750405844155843,0.09750405844155843
ackerbohne,0.09297600619195047,0.09297600619195047,0.04266640866873064,0.09297600619195047,0.09297600619195047,0.09297600619195047,0.09297600619195047,0.09297600619195047,0.09297600619195047,9.67492260061921e-05,9.67492260061921e-05,0.04266640866873064,0.04266640866873064,0.04266640866873064,0.04266640866873064,0.04266640866873064
